player_id,elo,date
104678,100,20170102
106415,100,20170102
104678,101,20170102
106415,99,20170102
106378,100,20170102
124014,100,20170102
106378,101,20170102
124014,99,20170102
106298,100,20170102
104468,100,20170102
106298,101,20170102
104468,99,20170102
111577,100,20170102
104180,100,20170102
111577,101,20170102
104180,99,20170102
111442,100,20170102
111200,100,20170102
111442,101,20170102
111200,99,20170102
103970,100,20170102
106071,100,20170102
103970,101,20170102
106071,99,20170102
105777,100,20170102
105449,100,20170102
105777,101,20170102
105449,99,20170102
103917,100,20170102
103565,100,20170102
103917,101,20170102
103565,99,20170102
105032,100,20170102
105732,100,20170102
105032,101,20170102
105732,99,20170102
104745,100,20170102
105238,100,20170102
104745,101,20170102
105238,99,20170102
104999,100,20170102
200282,100,20170102
104999,101,20170102
200282,99,20170102
106043,100,20170102
105023,100,20170102
106043,101,20170102
105023,99,20170102
104527,100,20170102
104527,101,20170102
104678,100,20170102
106378,102,20170102
106298,100,20170102
105453,100,20170102
105453,101,20170102
111577,100,20170102
111442,102,20170102
103970,100,20170102
105777,102,20170102
103917,100,20170102
106233,100,20170102
106233,101,20170102
105032,100,20170102
104745,102,20170102
104999,100,20170102
105683,100,20170102
105683,101,20170102
106043,100,20170102
104527,102,20170102
106378,101,20170102
105453,102,20170102
111442,101,20170102
105777,103,20170102
106233,100,20170102
105683,102,20170102
104745,101,20170102
105453,103,20170102
104527,101,20170102
105777,104,20170102
105683,101,20170102
105777,105,20170102
105453,102,20170102
104297,100,20170102
105583,100,20170102
104297,101,20170102
105583,99,20170102
105952,100,20170102
134770,100,20170102
105952,101,20170102
134770,99,20170102
104022,100,20170102
105031,100,20170102
104022,101,20170102
105031,99,20170102
105379,100,20170102
104198,100,20170102
105379,101,20170102
104198,99,20170102
106026,100,20170102
106368,100,20170102
106026,101,20170102
106368,99,20170102
105332,100,20170102
104505,100,20170102
105332,101,20170102
104505,99,20170102
111202,100,20170102
106432,100,20170102
111202,101,20170102
106432,99,20170102
104534,100,20170102
106000,100,20170102
104534,101,20170102
106000,99,20170102
104327,100,20170102
105254,100,20170102
104327,101,20170102
105254,99,20170102
104229,100,20170102
105430,100,20170102
104229,101,20170102
105430,99,20170102
106421,100,20170102
106329,100,20170102
106421,101,20170102
106329,99,20170102
106075,100,20170102
105671,100,20170102
106075,101,20170102
105671,99,20170102
105138,100,20170102
105138,101,20170102
104297,100,20170102
104022,102,20170102
105952,100,20170102
105373,100,20170102
105379,102,20170102
105373,99,20170102
105332,102,20170102
106026,100,20170102
104534,102,20170102
111202,100,20170102
105077,100,20170102
105077,101,20170102
104327,100,20170102
106421,102,20170102
104229,100,20170102
105227,100,20170102
106075,102,20170102
105227,99,20170102
105138,102,20170102
104022,101,20170102
105332,103,20170102
105379,101,20170102
104534,103,20170102
105077,100,20170102
106421,103,20170102
106075,101,20170102
105138,103,20170102
105332,102,20170102
106421,104,20170102
104534,102,20170102
105138,104,20170102
106421,103,20170102
104925,100,20170102
105526,100,20170102
104925,101,20170102
105526,99,20170102
104547,100,20170102
104252,100,20170102
104547,101,20170102
104252,99,20170102
105963,100,20170102
105633,100,20170102
105963,101,20170102
105633,99,20170102
103285,100,20170102
104571,100,20170102
103285,101,20170102
104571,99,20170102
105676,100,20170102
104898,100,20170102
105676,101,20170102
104898,99,20170102
104269,100,20170102
105577,100,20170102
104269,101,20170102
105577,99,20170102
111575,100,20170102
122570,100,20170102
111575,101,20170102
122570,99,20170102
103333,100,20170102
105011,100,20170102
103333,101,20170102
105011,99,20170102
104542,100,20170102
105723,100,20170102
104542,101,20170102
105723,99,20170102
104460,100,20170102
105487,100,20170102
104460,101,20170102
105487,99,20170102
106210,100,20170102
105551,100,20170102
106210,101,20170102
105551,99,20170102
104607,100,20170102
105561,100,20170102
