player1_id,player2_id,h2h
104678,106415,1
106378,124014,1
106298,104468,1
111577,104180,1
111442,111200,1
103970,106071,1
105777,105449,1
103917,103565,1
105032,105732,1
104745,105238,2
104999,200282,1
106043,105023,1
104527,104678,2
106378,106298,-1
105453,111577,1
111442,103970,1
105777,103917,1
106233,105032,1
104745,104999,2
105683,106043,1
104527,106378,1
105453,111442,1
105777,106233,1
105683,104745,0
105453,104527,1
105777,105683,1
105777,105453,1
104297,105583,1
105952,134770,1
104022,105031,1
105379,104198,1
106026,106368,1
105332,104505,1
111202,106432,1
104534,106000,1
104327,105254,1
104229,105430,0
106421,106329,1
106075,105671,1
105138,104297,2
104022,105952,1
105379,105373,1
105332,106026,1
104534,111202,1
105077,104327,1
106421,104229,1
106075,105227,1
105138,104022,1
105332,105379,1
104534,105077,1
106421,106075,1
105138,105332,1
106421,104534,1
105138,106421,1
104925,105526,1
104547,104252,1
105963,105633,1
103285,104571,1
105676,104898,1
104269,105577,2
111575,122570,1
103333,105011,1
104542,105723,2
104460,105487,1
106210,105551,1
104607,105561,1
104259,104291,1
104597,103893,1
105589,103908,1
104918,104871,1
104925,104547,1
103285,105963,1
104269,105676,0
103333,111575,1
104542,104460,1
104607,106210,1
104597,104259,1
104918,105589,1
104925,103285,1
104269,103333,1
104607,104542,-1
104918,104597,1
104925,104269,2
104918,104607,1
104925,104918,1
104291,106043,1
104229,111575,2
105449,103565,2
105992,104198,2
104871,104677,1
103852,105030,1
105311,105077,-1
105454,105487,1
104898,110686,1
104571,105173,1
104460,111581,1
106210,104547,2
104545,104291,2
105449,104229,2
106058,105992,1
104871,103852,-1
105311,105454,1
104898,103970,2
104571,104460,1
106210,104907,1
105449,104545,2
106058,104871,2
105311,104898,1
104571,106210,2
106058,105449,1
105311,104571,1
106058,105311,1
104180,104678,1
105554,105723,1
103917,105064,1
105881,106378,1
104180,105238,1
103893,104252,1
111442,105932,0
104259,104926,2
105723,105373,0
200282,105332,1
104999,104597,1
104719,105053,1
105554,106329,2
105671,106331,1
104655,103917,2
104180,105881,1
104678,103893,2
104259,111442,1
105723,200282,1
105807,104999,2
105554,104719,1
106233,105671,1
104180,104655,1
104678,104259,1
105723,105807,2
105554,106233,0
104180,105554,1
104918,105011,1
126094,104229,0
200282,105589,1
105023,111460,1
104545,104505,1
104999,104198,1
104291,104424,1
122330,106298,1
104607,104563,1
105992,103917,1
111511,106216,1
103819,103781,1
105041,105077,1
104534,104719,2
104871,104597,1
105453,105723,1
104527,105373,1
105449,105643,1
103893,105902,1
104678,106000,1
106043,104655,0
104327,105032,1
104312,103908,1
106401,105671,1
104542,106329,1
105583,103565,1
111575,105173,1
106058,105732,2
106071,105064,1
103607,105379,1
105554,105487,1
105227,105668,1
104792,106210,1
105238,106432,1
105385,105341,1
104259,105932,1
100644,104898,0
126207,105062,1
104571,104022,1
104745,104252,1
105138,105550,1
106415,106109,1
124014,106421,1
103970,117357,1
104468,111581,1
104297,111577,1
104180,126203,1
105683,104460,1
106233,105526,1
111442,105311,1
105332,103163,0
104926,103852,1
103333,104547,0
106225,106361,1
103285,104098,1
105676,124187,1
105777,106331,1
111202,105952,1
104122,105430,1
104755,106425,1
105807,105166,1
106378,105053,1
104797,104471,1
104918,126094,1
105023,200282,1
104999,104545,3
104291,122330,1
104607,105992,3
103819,111511,1
105041,104534,1
105453,104871,2
104527,105449,1
104327,106043,1
104312,106401,1
104542,105583,2
106058,111575,1
106071,103607,1
105554,105227,1
104792,105238,1
104259,105385,1
100644,126207,1
104745,104571,1
105138,106415,1
103970,124014,1
104468,104297,1
105683,104180,2
106233,111442,1
105332,104926,1
103333,106225,1
105676,103285,1
105777,111202,1
104755,104122,2
105807,106378,1
104797,104925,1
104918,105023,0
104999,104291,2
103819,104607,3
105453,105041,1
104312,104327,0
104542,106058,1
105554,106071,1
104792,104259,1
104745,100644,2
105138,103970,1
